Union affiliation,Elections participated in — Total,Elections participated in — Won,Elections participated in — Percent won,Employees involved (number eligible to vote) — Total eligible,Employees involved — Employees in units selecting bargaining agent — Number,Employees involved — Employees in units selecting bargaining agent — Percent of total eligible,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for the union — Number,Valid votes cast — Cast for the union — Percent of total cast
Total,7355,4305,58.5,536047,305976,57.1,482558,90.0,299547,62.1
AFL-CIO,5049,2708,53.6,453277,190858,42.1,408421,90.1,197038,48.2
Unaffiliated,3014,1597,53.0,221125,115118,52.1,196535,88.9,102509,52.2
