Formal action taken,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — Other C cases,Representation cases
Complaints issued,2030,2030,1558,472,
Notices of hearing issued,5800,55,55,,5754
Cases heard,3773,1305,982,323,2468
Intermediate reports issued,989,989,742,247,
"Decisions issued, total",4391,1425,967,458,2966
Decisions and orders,1230,1230,856,374,
Decisions and consent orders,195,195,111,84,
Elections directed by regional director,1836,,,,1836
Elections directed by Board,577,,,,577
Rulings on objections and/or challenges in stipulated election cases,210,,,,210
Dismissals on record by regional director,202,,,,202
Dismissals on record by Board,141,,,,141
