Stage of disposition,All R cases — Number of cases closed,All R cases — Percent of cases closed,RC cases — Number of cases closed,RC cases — Percent of cases closed,RM cases — Number of cases closed,RM cases — Percent of cases closed,RD cases — Number of cases closed,RD cases — Percent of cases closed
Total number of cases closed,11634,100.0,9958,100.0,921,100.0,755,100.0
Before issuance of notice of hearing,5430,46.7,4477,45.0,531,57.7,422,55.9
"After issuance of notice of hearing, before close of hearing",3325,28.6,2990,30.0,184,20.0,151,20.0
"After hearing closed, before issuance of decision",109,.9,90,.9,11,1.2,8,1.1
After issuance of regional director decision,1749,15.0,1509,15.1,128,14.9,112,14.8
After issuance of Board decision,1021,8.8,892,9.0,67,7.2,62,8.2
