Subsection / allegation,Number of cases showing specific allegations,Percent of total cases
[SECTION A — Charges filed against employers under Sec. 8(a) (left panel) + Recapitulation (right panel)],,
Total cases,9231,100.0
8(a)(1),9231,100.0
8(a)(2),691,7.5
8(a)(3),6953,75.3
8(a)(4),240,2.6
8(a)(5),2294,24.9
[SECTION B — Charges filed against unions under Sec. 8(b)],,
Total cases,4198,100.0
8(b)(1),2012,47.9
8(b)(2),1673,39.9
8(b)(3),290,6.9
8(b)(4),1395,33.2
8(b)(5),14,.3
8(b)(6),21,.5
8(b)(7),404,9.6
[SECTION C — Analysis of 8(b)(4) and 8(b)(7) sub-clauses],,
Total cases 8(b)(4),1395,100.0
8(b)(4)(A),131,9.4
8(b)(4)(B),996,71.4
8(b)(4)(C),54,3.9
8(b)(4)(D),326,23.4
Total cases 8(b)(7),404,100.0
8(b)(7)(A),58,14.4
8(b)(7)(B),118,29.2
8(b)(7)(C),250,61.9
[SECTION D — Charges filed against unions and employers under Sec. 8(e) (hot-cargo agreements)],,
Total cases 8(e),50,100.0
