row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,12323,10698,86 8,7546,3152,6930,6083,87 8,1870,4213
AFL-CIO,9850,8596,87 3,6030,2566,4244,3769,88 8,1099,2670
Unaffiliated,2473,2102,85 0,1516,586,2686,2314,86 2,771,1543
