row_label,Number of proceedings — Total all courts — Number decided,Number of proceedings — Total all courts — Court determination — Upholding Board position,Number of proceedings — Total all courts — Court determination — Contrary to Board position,Number of proceedings — In courts of appeals — Number decided,Number of proceedings — In courts of appeals — Court determination — Upholding Board position,Number of proceedings — In courts of appeals — Court determination — Contrary to Board position,Number of proceedings — In district courts — Number decided,Number of proceedings — In district courts — Court determination — Upholding Board position,Number of proceedings — In district courts — Court determination — Contrary to Board position
Total—all types,94,87,7,37,36,1,57,51,6
NLRB-instituted actions or interventions,11,10,1,4,4,0,7,6,1
NLRB-instituted — To enforce subpenas,2,2,0,0,0,0,2,2,0
NLRB-instituted — To defend Board's jurisdiction,5,4,1,2,2,0,3,2,1
NLRB-instituted — To prevent conflict between NLRA and Bankruptcy Code,4,4,0,0,0,0,4,4,0
Action by other parties,83,77,6,33,32,1,50,45,5
Action by other parties — To review non-final orders,9,9,0,9,9,0,0,0,0
Action by other parties — To restrain NLRB from,42,39,3,10,10,0,32,29,3
Restrain NLRB — Proceeding in R case,21,18,3,5,5,0,16,13,3
Restrain NLRB — Proceeding in unfair labor practice case,21,21,0,5,5,0,16,16,0
Action by other parties — To compel NLRB to,32,29,3,14,13,1,18,16,2
Compel NLRB — Issue complaint,11,11,0,3,3,0,8,8,0
Compel NLRB — Take action in R Case,2,2,0,0,0,0,2,2,0
Compel NLRB — Comply with Freedom of Information Act,14,11,3,7,6,1,7,5,2
Compel NLRB — Other,5,5,0,4,4,0,1,1,0
