Division and State,Total elections,Number of elections in which representative chosen / Total,Number of elections in which representative chosen / AFL-CIO unions,Number of elections in which representative chosen / Teamsters,Number of elections in which representative chosen / Other national unions,Number of elections in which representative chosen / Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Valid votes cast for no union,Eligible employees in units choosing representation
New England (subtotal),457,236,124,88,12,12,221,23587,21266,10018,6475,1736,1141,666,11248,7138
"Per-state detail (Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut)",,,,,,,,,,,,,,,,
Middle Atlantic (subtotal),1375,806,374,271,63,98,569,,,,,,,,,
"Per-state detail (NJ, NY, PA)",,,,,,,,,,,,,,,,
East North Central (subtotal),1972,984,523,304,124,33,988,105193,,,,,,,,36002
"Per-state detail (OH, IN, IL, MI, WI)",,,,,,,,,,,,,,,,
West North Central (subtotal),820,431,248,150,14,9,389,42067,39736,17124,,,,,,17772
"Per-state detail (MN, IA, MO, ND, SD, NE, KS)",,,,,,,,,,,,,,,,
South Atlantic (subtotal),875,396,256,116,18,6,479,95342,,,,,,,,22660
"Per-state detail (DE, MD, DC, VA, WV, NC, SC, GA, FL)",,,,,,,,,,,,,,,,
