row_label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
AFL-CIO,10746,3292,3292,,,,1871,1686,1686,,,,3897
Teamsters,2808,728,,,,,213,259,,259,,,1196
Other national unions,1402,710,,928,,,423,37,,,87,,182
Other local unions,123,19,,,710,19,27,15,,,,15,74
1-union elections,14869,4049,3292,928,710,19,2524,2047,1686,259,87,15,5349
AFL-CIO v. AFL-CIO,19,0,0,,,,0,0,0,,,,11
AFL-CIO v. Teamsters,1751,1654,642,1012,,,44,22,0,22,,,31
AFL-CIO v. Local,1361,1291,779,,,512,12,4,3,0,1,,49
2-union elections,3131,2945,1421,1012,0,512,61,34,11,22,0,1,91
Total RD elections,18000,7894,4713,1940,710,531,2585,2081,1697,281,87,16,5440
