row_label,col_1,col_2,col_3,col_4
MA .;i4a,- e N,"c.,",2,m g -r .
g,g,"' "" Cli",V,CO Ol 0
0 £2 .-:,,0 2,,
n,2,. . .14,,S .i
. d' .,,4,- oi,
0 alg ea-; -,,'n28428 ts,,2 c.■
En8 gpz4,2 ui 0,88148nE2 ui,CO,", 01 -0."
"2""8'4 m8",2 .,-.00-00-0,CO,§
.,,m- ON,0,
24,M,0 Csi,,A
'4,4,to --,,S
,at Z,"0,..C-",N .,. W
i748 . .,m . .4,0M.ON.N. .,c- N,CO A
"004,W w..-4n",. 8,000000C-0 '8888828 .. -. -,0 8,M
"2M3,1",V m,....c. .,CO M,M
,,"o 41,.21 >>>>>>-]",,
,,"ocomEE': nnlita c:4""gg'14.1",,
