Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Eligible voters,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
New England,10,0,0,0,10,1155,924,208,65,0,651
New England — Maine,4,0,0,0,4,399,222,64,0,0,158
New England — Massachusetts,3,0,0,0,3,712,568,144,65,0,443
Middle Atlantic,26,3,9,0,14,2371,2162,366,691,0,879
Middle Atlantic — New York,11,1,6,0,4,779,487,137,146,0,224
East North Central,11,4,2,1,4,1716,1304,285,569,203,317
West North Central,10,2,0,1,7,412,382,103,0,29,250
South Atlantic,8,2,0,0,6,770,605,92,0,0,261
East South Central,8,2,1,0,5,1064,962,63,373,0,526
