row_label,col_1,col_2
TABLE,,Page
5.,"Industrial Distribution of Cases Received, Fiscal Year 1976 Geographic Distribution of Cases Received, Fiscal Year 1976",215
6A.,Federal Administrative Regional Distribution of,218
6B.,"Standard Cases Received, Fiscal Year 1976",220
7.,"Analysis of Methods of Disposition of Unfair Labor Practice Cases Closed, Fiscal Year 1976",222
7A.,"Analysis of Methods of Disposition of Jurisdictional Dispute Cases Closed Prior to Unfair Labor Practice Proceedings, Fiscal Year 1976",224
8.,"Disposition by Stage of Unfair Labor Practice Cases Closed, Fiscal Year 1976",225
9.,"Disposition by Stage of Representation and Union Deauthorization Cases Closed, Fiscal Year 1976",226
10.,"Analysis of Methods of Disposition of Representation and Union Deauthorization Cases Closed, Fiscal Year 1976",227
10A.,"Analysis of Methods of Disposition of Amendment of Certification and Unit Clarification Cases Closed, Fiscal Year 1976",228
11.,"Types of Elections Resulting in Certification in Cases Closed, Fiscal Year 1976",229
11A.,"Analysis of Elections Conducted in Representation Cases Closed, Fiscal Year 1976 _",230
11B.,"Representation Elections in Which Objections and/or Determinative Challenges Were Ruled On in Cases Closed, Fiscal Year 1976._",
11C.,"Objections Filed in Representation Cases Closed, by Party Filing, Fiscal Year 1976",232
11D.,"Disposition of Objections in Representation Cases Closed, Fiscal Year 1976",233
11E. 12.,"Results of Rerun Elections Held in Representation Cases Closed, Fiscal Year 1976 Results of Union-Shop Deauthorization Polls in Cases Closed, Fiscal",234
,"Year 1976 Final Outcome of Representation Elections in Cases Closed, Fiscal",235
13.,Year 1976,236
14.,"Valid Votes Cast in Representation Elections, by Final Results of Election, in Cases Closed, Fiscal Year 1976",240
15A.,"Geographic Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1976",244
15B.,"Standard Federal Administrative Regional Distribution of Represen- tation Elections Held in Cases Closed, Fiscal Year 1976",246
16.,"Industrial Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1976",248
17.,"Size of Units in Representation Election Cases Closed, Fiscal Year 1976",250
18.,"Distribution of Unfair Labor Practice Situations Received, by Num- ber of Employees in Establishments, Fiscal Year 1976_",252
19.,"Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 1976; and Cumulative Totals, Fiscal Years 1936-1976",253
19A.,"Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforcement and/or Review of Board Orders, Fiscal Year 1976, Compared With 5-Year Cumulative Totals, Fiscal Years 1971 through 1975",254
