row_label,col_1,col_2,col_3,col_4
Cases decided by UScourts of appeals,148,100 0,2129,100 0
Board orders enforced in full,es,439,1228,577
Board orders enforced with modification,35,237,436,235
Remanded to Board,13,88,73,84
Board orders partially enforced and partially remanded,4,27,19,9
Board orders set aside,31,209,373,175
Cases decided by USSupreme Court,10,100 0,134,1000
Board orders enforced in fell,2,200,82,812
Board orders enforced with modification,1,100,13,97
Board orders set aside,4,400,24,179
Remanded to Board,1,100,3,22
Remanded to court of appeals,2,200,9,67
Board's request for remand or modification of enforcement order denied,o,0,1,s
Contempt case remanded to court of appeals,o,o,1,s
Contempt case enforced,0,0,1,7
