row_label,Region,Total elections,Total won by unions,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in units choosing representation
Region V,2108,1183,623,373,,,,,,,,,,,,,
"Total, all Federal regions",8923,4787,2662,1497,385,243,4136,,,,,,,,,30748,297477
