Size of establishment (number of employees),Total number of situations,Total / Number of all situations,Total / Cumulative percent of total,Type of situations CA / Number of situations,Type of situations CA / Percent by size class,Type of situations CB / Number of situations,Type of situations CB / Percent by size class,Type of situations CC / Number of situations,Type of situations CC / Percent by size class,Type of situations CD / Number of situations,Type of situations CD / Percent by size class,Type of situations CE / Number of situations,Type of situations CE / Percent by size class,Type of situations CP / Number of situations,Type of situations CP / Percent by size class,Type of situations CA-CB combinations / Number of situations,Type of situations CA-CB combinations / Percent by size class,Type of situations Other C combinations / Number of situations,Type of situations Other C combinations / Percent by size class
Total,18051,,,11399,100.0,3080,100.0,1267,100.0,517,100.0,31,100.0,363,100.0,1155,100.0,240,100.0
Under 10,4323,23.9,23.9,2449,20.0,730,23.7,,,,,,,,,,,27.7,
