Type of litigation,Total — all courts / Number of proceedings — Number decided,Total — all courts / Court determination — Upholding Board position,Total — all courts / Court determination — Contrary to Board position,In courts of appeals / Number of proceedings — Number decided,In courts of appeals / Court determination — Upholding Board position,In courts of appeals / Court determination — Contrary to Board position,In district courts / Number of proceedings — Number decided,In district courts / Court determination — Upholding Board position,In district courts / Court determination — Contrary to Board position
Totals — all types,43,35,8,17,11,6,26,24,2
NLRB-initiated actions,5,4,1,5,4,1,0,0,0
To enforce subpena,2,2,0,2,2,0,0,0,0
To restrain dissipation of assets by respondent,0,0,0,0,0,0,0,0,0
To defend Board jurisdiction,3,2,1,3,2,1,0,0,0
Action by other parties,30,27,3,9,7,2,21,20,1
To restrain NLRB from,12,11,1,1,1,0,11,10,1
Proceeding in R case,8,7,1,1,1,0,7,6,1
Proceeding in unfair labor practice case,1,1,0,0,0,0,1,1,0
Proceeding in backpay case,1,1,0,0,0,0,1,1,0
Other (restraining NLRB),2,2,0,0,0,0,2,2,0
To compel NLRB to,18,16,2,8,6,2,10,10,0
Issue complaint,7,7,0,3,3,0,4,4,0
Seek injunction,1,1,0,0,0,0,1,1,0
Take action in R case,2,2,0,0,0,0,2,2,0
Other (compelling NLRB),8,6,2,5,3,2,3,3,0
