row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which no representative was chosen / AFL-CIO unions,Total number of employees eligible to vote / Teamsters,Valid votes cast for unions / Other national unions,Eligible employees in elections in which employees chose no representation / Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Eligible employees in elections in which employees chose no representation
Nevada,31,19,9,6,0,4,10,2013,1617,621,366,255,0,0,996
Mountain,182,95,73,19,1,2,87,12874,11101,5133,3755,1073,235,170,5968
Washington,99,58,37,13,5,3,41,9162,7054,5218,5274,233,773,138,2113
Pacific,666,341,205,110,13,13,325,41015,33424,16856,9826,5226,1166,638,16568
Puerto Rico,51,27,4,5,0,18,24,3153,3253,1720,747,220,753,0,1553
Virgin Islands,5,2,2,0,0,0,3,329,329,194,194,0,0,0,135
Outlying Areas,56,29,6,5,0,18,27,4107,3582,1914,941,220,753,0,1680
"Total, all States and areas",3623,1795,1159,457,52,127,1828,231069,202997,95853,65675,20193,3883,6610,107144
