row_label,Participating unions,Employees eligible to vote,Percent casting valid votes,Total valid votes,Valid votes cast for AFL affiliates — Number,Valid votes cast for AFL affiliates — Percent,Valid votes cast for CIO affiliates — Number,Valid votes cast for CIO affiliates — Percent,Valid votes cast for Unaffiliated unions — Number,Valid votes cast for Unaffiliated unions — Percent,Valid votes cast for No union — Number,Valid votes cast for No union — Percent,Employees in units chosen representation
Total,890274,87.8,781282,143041,18.3,330217,42.3,174202,22.3,131950,16.9,753508,
1 A.F. of L. affiliate,126802,87.1,110392,65665,59.3,,,,,44937,40.7,72630,
1 C.I.O. affiliate,184043,85.9,154938,,,103604,66.8,,,51434,33.2,104784,
1 Unaffiliated union,38343,89.0,34140,,,,,26892,78.8,7248,21.2,30038,
