row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,155522,32918,32918,,,,16815,35438,35438,,,,70351
Teamsters,37974,7804,,7804,,,3433,7913,,7913,,,18824
Other national unions Other local unions,"6,808 10,875","1,370 3,010",,,"1,370 -","-- 3,010","581 1,054","1,737 2,244",,,"1,737 -","- 2,244","3,120 4,567"
1-union elections,211179,45102,32918,7804,1370,3010,21883,47332,35438,7913,1737,2244,96862
AFL-CIO v AFL-CIO,5124,2538,2538,,,,105,859,859,,,,1622
AFL-CIO v Teamsters,2808,1565,592,973,,,297,354,116,238,,,592
AFL-CIO v National,1722,133,51,,82,,22,547,348,,199,,1020
AFL-CIO v Local,6097,5648,3157,,,2491,251,79,,,,37,119
Teamsters v National,308,13,,13,0,,3,123,,8,115,,169
Teamsters v Local,303,292,,140,,152,11,0,,0,,0,0
Teamsters,58,0,,,,,0,25,,,,,33
Teamsters v National v Local,130,91,,,10,81,22,2,,,1,1,15
Local v Local,859,781,,,,781,46,17,,,,17,15
2-union elections,17409,11061,6338,1126,92,3505,757,2006,1365,271,315,55,3585
AFL-CIO v AFL-CIO v Teamsters,249,247,25,222,,,2,0,0,0,,,0
AFL-CIO v AFL-CIO v National,671,667,204,,463,,4,0,0,,0,,0
AFL-CIO v Teamsters v Teamsters,65,46,3,43,,,19,0,0,,,,0 0
3 (or more)-union elections Total representation elections,"985 229,573","960 57,123","232 39,488","265 9,195","463 1,925","0 6,515","25 22,665","0 49,338","0 36,803","0 8,184","0 2,052","0 2,299",100447
