Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, dismissed, inactive, pending, etc"
Under sec 10(j) (a) Against unions,7,3,,4 settled
Under sec 10(j) (b) Against employers,7,4,2,1 dismissed
Under sec 10(j) (c) Against union and employer,1,,,1 withdrawn
Under sec 10(l),215,70,6,69 settled; 8 withdrawn; 2 dismissed; 58 alleged illegal activity suspended; 10 pending
Total,230,77,8,153
