Type of election,All R elections — Total elections conducted,All R elections — Withdrawn or dismissed before certification,All R elections — Resulting in rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections conducted,RC elections — Withdrawn or dismissed before certification,RC elections — Resulting in rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections conducted,RM elections — Withdrawn or dismissed before certification,RM elections — Resulting in rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections conducted,RD elections — Withdrawn or dismissed before certification,RD elections — Resulting in rerun or runoff,RD elections — Resulting in certification
All types,3975,112,111,3752,3294,107,98,3089,95,1,4,90,586,4,9,573
All types — Rerun required,,,80,,,,73,,,,0,,,,7,
All types — Runoff required,,,31,,,,25,,,,4,,,,2,
Consent elections,42,0,0,39,28,3,0,25,6,0,0,6,8,0,0,8
Stipulated elections,3337,90,86,3161,2739,86,79,2574,67,1,0,66,531,3,7,521
Regional Director-directed,581,19,25,537,519,18,19,482,18,0,4,14,44,1,2,41
Board-directed,11,0,0,11,8,0,0,8,0,0,0,0,3,0,0,3
Expedited — Sec. 8(b)(7)(C),4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0
