row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
1-union elections..........................,2053,58.9,1209,1099,50,60,844,133471,55155,50126,3020,2009,78316
National v. National..........................,8,87.5,7,,7,,1,603,587,,587,,16
National v. Local..............................,14,92.9,13,,5,8,1,1551,1501,,856,645,50
Local v. Local....................................,7,85.7,6,,,6,1,658,626,,,626,32
AFL-CIO v. National........................,8,100.0,8,2,6,,0,1016,1016,58,958,,0
AFL-CIO v. AFL-CIO......................,84,84.5,71,71,,,13,3901,3027,3027,,,874
AFL-CIO v. Local............................,34,97.1,33,16,,17,1,7337,7331,2697,,4634,6
2-union elections..........................,155,89.0,138,89,18,31,17 0,"15,066 5","14,088 5",5782,2401,5905,978
AFL-CIO v. Local v. Local..............,1,100.0,1,0,,1,,,22,0,-- 0,5 22,0
National v. Local v. Local................,1,100.0,1,,0,1,0,22,,,,,0
National v. National v. National........,2,100.0,2,,2,,0,52,52,,52,,0 0
AFL-CIO v. AFL-CIO v. AFL-CIO..,2,100.0,2,2,,,0,188 27,188,188,,,
AFL-CIO v. AFL-CIO v. Local........,1,100.0,1,1,-- 2,0 2,0 0,294,27 294,27 215,-- 52,0 27,0
3 (or more)-union elections.......... Total RC elections........................,"7 2,215",100.0 61.1,"7 1,354","3 1,191",70,93,861,148831,69537,56123,5473,7941,"0 79,294"
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO,38,15.8,6,6,,,32,752,125,125,,,627
Other local unions..............................,1,100.0,1,,,1,0,299,299,,,299,0
Other national unions........................,2,50.0,1,,1,,1,265,250,,250,,15
1-union elections..........................,41,19.5,8,6,1,1,33,1316,674,125,250,299,642
National v. Local..............................,6,100.0,6,,3,3,0,137,137,,30,107,0
AFL-CIO v. AFL-CIO......................,4,50.0,2,2,,,2,131,124,124,,,7
