Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — RC,Formal actions taken by type of case — RM,Formal actions taken by type of case — RD,Formal actions taken by type of case — UD
"Hearings completed, total",1453,1334,1061,87,186,13
Initial hearings,1283,1179,925,83,171,13
Hearings on objections and/or challenges,170,155,136,4,15,0
"Decisions issued, total",1595,1421,1150,139,132,24
By regional directors,1516,1355,1099,131,125,23
Elections directed (by RD),1195,1047,844,83,120,22
Dismissals on record (by RD),321,308,255,48,5,1
By Board,79,66,51,8,7,1
Transferred by regional directors for initial decision,21,16,14,1,1,0
"Elections directed (by Board, transferred)",12,10,10,0,0,0
"Dismissals on record (by Board, transferred)",9,6,4,1,1,0
Review of regional directors' decisions — Requests for review received,738,736,616,39,81,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on requests ruled upon, total",448,424,378,14,32,5
Granted,82,78,73,1,4,5
Denied,362,342,302,13,27,0
Remanded,4,4,3,0,1,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",58,50,37,7,6,1
Regional directors' decision: Affirmed,23,19,14,2,3,0
Regional directors' decision: Modified,20,17,15,1,1,0
Regional directors' decision: Reversed,15,14,8,4,2,1
Outcome: Election directed (after review),19,12,8,1,3,0
Outcome: Dismissals on record (after review),39,38,29,6,3,0
