Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and order
"1-CC-149, 151","CIO-Steel Workers and Local 8246 (Barry Control, Inc)","May 11, 1956",10 (l),,,,,,"May 17, 1956"
15-CC-48,"AFL-Teamsters, Local 270 (Genuine Parts Co)","May 16, 1956",10 (l),,,,,"June 11, 1956",
5-CC-61,"AFL-Roanoke Building and Construction Trades Council et al (Krogor Co, The)","May 18, 1956",10 (l),,,,,"June 2, 1956",
"35-CC-35, 35-CD-24","AFL-Carpenters, et al (Wendnagel & Co)","May 24, 1956",10 (l),,,,,,
Additional case rows present,,,,,,,,,
