Method and stage of disposition,All-C cases — Number,All-C cases — Percent of total closed,All-C cases — Percent (subcategory),CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Administrative law judge's decision (subtotal),28,0.1,3.9,25,0.1,3,0.0,0,0,0,0,0,0,0,0,0,0
Board decision,493,1.6,69.4,417,1.8,57,0.7,13,1.6,0,0,0,0,0,0,6,2.5
Circuit court of appeals decree,186,0.6,26.2,165,0.7,12,0.1,6,0.7,0,0,0,0,3,6.1,0,0
Supreme Court action,3,0.0,0.4,2,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0
Withdrawal — subtotal,10052,31.8,100.0,7433,33.0,2234,28.6,266,34.1,1,0.4,19,38.7,9,56.2,90,37.8
Withdrawal — Before issuance of complaint,9669,30.6,96.2,7104,31.6,2189,28.0,262,33.8,1,0.4,18,36.7,8,50.0,88,36.9
"Withdrawal — After issuance of complaint, before opening of hearing",343,1.1,3.5,299,1.3,36,0.4,3,0.3,0,0,1,2.0,1,6.2,2,0.8
Dismissal — subtotal,10685,33.8,100.0,6470,28.7,4005,51.4,142,18.2,0,0,12,24.4,2,12.5,54,22.6
Dismissal — Before issuance of complaint,10475,33.2,98.0,6287,28.0,3983,51.1,138,17.7,0,0,11,22.4,2,12.5,54,22.6
