Participating unions,Number of elections and pay-roll checks,Elections won by petitioner / Number,Elections won by petitioner / Percent,Valid votes cast / Total,Valid votes cast / For A. F. of L. affiliates,Valid votes cast / For C. I. O. affiliates,Valid votes cast / For unaffiliated unions,Valid votes cast / For no union,Percent of total votes cast for petitioner
Total,4712,3577,75.9,1072594,199989,445528,183066,244011,55.7
"American Federation of Labor affiliate, petitioner",1747,1337,76.5,273769,151183,48356,16066,58164,55.7
"Congress of Industrial Organizations affiliate, petitioner",2328,1791,76.9,,38868,371057,60663,122578,59.5
"Unaffiliated union, petitioner",625,449,71.8,152328,8043,22806,90023,31456,59.1
