Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by individuals — Number,Cases filed by individuals — Number of workers involved,Cases filed by employers — Number,Cases filed by employers — Number of workers involved
"Cases pending July 1, 1940",2911,1370919,1175,325426,1348,830154,209,152372,159,29490,20,33477
"Cases received, July 1940-June 1941",9151,2373361,4259,1132272,3260,1151221,595,157003,476,230221,73,8074
"Cases on docket, July 1940-June 1941",12062,3744280,5434,1132272,5008,2031775,804,295375,635,276401,93,8942
"Cases closed, July 1940-June 1941",8396,2082036,3879,744820,3439,1031094,586,129171,456,165161,71,7308
Cases closed before formal action,7114,1457392,3379,488390,2803,691408,418,104915,451,162871,57,4713
Cases closed after formal action,1282,624644,497,256430,636,339073,118,21226,5,2290,14,2595
