row_label,Total elections,Won by unions — Total,Won by unions — AFL-CIO,Won by unions — Teamsters,Won by unions — Other national,Won by unions — Other local,Number of elections no representative chosen,Number of employees eligible to vote,Total valid votes cast for unions,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total valid votes cast against unions,Eligible employees in units choosing union representation
Food and kindred products,428,187,88,84,6,9,241,32925,29018,14414,6846,3698,515,3355,12265
Tobacco manufacturers,4,1,,1,,,3,882,453,194,,,,259,150
Manufacturing (subtotal),3669,1492,879,380,146,87,2177,367899,326541,159769,97931,21061,23049,18728,169774
