row_label,col_1,col_2,col_3
,,Elections Conducted,11A
Received-Closed-Pending,1,Disposition,11D
Distribution of Intake:,,Party Filing Rerun,11C 11E
• by Industry,5,Results,
Geographic,"6A,B",Ruled on Size of units,11B 17
Court Litigation Appellate Decisions,19A,"Types of Elections ,Union-Shop Deauthorization Polls-Results of",11 12
Enforcement and Review,19,Valid Votes Cast,14
Injunction Litigation,20,,
Miscellaneous Litigation,21,Unfair Labor Practice Cases,"1, 1 A"
Representation and Union Deauthorizadon Cases General,,"Received-Closed-Pending Allegations, Types of Disposition: by Method",2 7
Received-Closed-Pending Disposition:,"1,1B",by Stage Jurisdictional Dispute Cases,8 7A 4
by Method by Stage,10,(Before Complaint) Remedial Actions Taken,
Formal Action Taken,9,Size of Establishment,
,3B,(Number of Employees),
Processing Time,,,18
,23,Processing Time,23
Elections,13,Amendment of Certification and Unit Clarification,
Final Outcome Geographic Distribution,"15A,B",Cases Received-Closed-Pending,1 10A
Industrial Distribution,16,Disposition by Method,3C
,,Formal Actions Taken,
,,Advisory Opinions,
,,Received-Closed-Pending,22
,,Disposition by Method,22A
