Stage / Case-type section,Total,A.F. of L. affiliates,C.I.O. affiliates,Unaffiliated unions,Individuals,Employers
"ALL CASES — Cases pending July 1, 1947",5058,2014,2297,576,143,28
ALL CASES — Cases received July 1947-June 1948,36735,23438,5212,5193,1985,907
ALL CASES — Cases on docket July 1947-June 1948,41793,25452,7509,5769,2128,935
ALL CASES — Cases closed July 1947-June 1948,29151,18170,5294,3954,1115,618
"ALL CASES — Cases pending June 30, 1948",12642,7282,2215,1815,1013,317
"UNFAIR LABOR PRACTICE CASES — Cases pending July 1, 1947",2443,852,1244,204,143,
ULP — Cases received July 1947-June 1948,3598,990,415,239,1518,436
ULP — Cases on docket July 1947-June 1948,6041,1842,1659,443,1661,436
ULP — Cases closed July 1947-June 1948,3643,1228,1070,274,821,250
"ULP — Cases pending June 30, 1948",2398,614,589,169,840,186
"REPRESENTATION CASES — Cases pending July 1, 1947",2615,1162,1053,372,,28
Rep — Cases received July 1947-June 1948,7038,3472,1220,1408,467,471
Rep — Cases on docket July 1947-June 1948,9653,4634,2273,1780,467,499
Rep — Cases closed July 1947-June 1948,6817,3251,1729,1175,294,368
"Rep — Cases pending June 30, 1948",2836,1383,544,605,173,131
"UNION-SHOP AUTHORIZATION CASES — Cases pending July 1, 1947",,,,,,
UD — Cases received July 1947-June 1948,26099,18976,3577,3546,,
UD — Cases on docket July 1947-June 1948,26099,18976,3577,3546,,
UD — Cases closed July 1947-June 1948,18691,13691,2495,2505,,
"UD — Cases pending June 30, 1948",7408,5285,1082,1041,,
