Action / category,Total all,Employer — Total,Employer — Informal settlement,Employer — Formal settlement,Employer — Trial-Examiner,Employer — Order of Board,Employer — Order of Court,Union — Total,Union — Informal settlement,Union — Formal settlement,Union — Trial-Examiner,Union — Order of Board,Union — Order of Court
B. Employees offered reinstatement — Total,4068,4068,2624,158,0,410,876,,,,,,
Reinstatement Accepted,2763,2763,1883,91,0,253,535,,,,,,
Reinstatement Declined,1305,1305,741,67,0,157,340,,,,,,
Employees placed on preferential hiring list,406,406,360,7,0,17,22,,,,,,
Objections to employment withdrawn (Number of employees),108,,,,,,,108,72,1,0,24,10
Employees receiving backpay from employer or union,6738,6423,3056,234,0,1208,1930,315,166,4,0,60,85
"Employees reimbursed for fees, dues, and fines (from employer or union)",6063,1886,449,0,0,1308,129,4177,3892,0,0,12,273
C. By amounts of monetary recovery — Total,4825575,4434300,1668120,194260,0,1024820,1547400,391275,130640,4710,0,91191,164674
"Backpay (includes all monetary payments except fees, dues, and fines)",4594650,4394240,1656800,194260,0,999769,1543621,200410,108200,4660,0,46910,
"Reimbursement of fees, dues, and fines",230925,40060,11830,0,0,24660,3570,190865,22380,110,0,46401,121994
