row_label,Industrial Group (NAICS),All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
"32-Manufacturing (NAICS 32 sub-total — Chemical, Plastics-Rubber, Nonmetallic Mineral)",1807,1558,1251,294,8,3,,0,0,2,235,167,4,64,11,1,2
Transportation Equipment Manufacturing (largest NAICS 33 sub-industry),1237,1121,714,400,6,0,,1,0,0,109,88,1,14,1,0,6
"33-Manufacturing (NAICS 33 sub-total — Primary Metal, Fab Metal, Machinery, Computer-Electronic, Electrical, Transportation Eq, Furniture, Misc Mfg)",3693,3273,2378,874,19,1,,1,0,0,396,295,9,91,10,4,10
Wholesale Trade (NAICS 42 sub-total — Durable + Nondurable),776,612,487,114,8,1,,0,2,0,155,116,11,26,0,0,5
Food and Beverage Stores (Retail NAICS 445 — largest retail sub-industry),1040,940,579,352,3,0,,6,0,0,97,65,5,27,1,0,1
