Participating unions,Number of elections / Employees eligible to vote / Percent valid voted / Total valid votes cast,Elections won by / Valid votes cast for — A.F. of L. affiliates — Number,A.F. of L. affiliates — Percent,C.I.O. affiliates — Number,C.I.O. affiliates — Percent,Unaffiliated unions — Number,Unaffiliated unions — Percent,No union — Number,No union — Percent,Employees on units choosing union representation
A. ELECTIONS — Total,6422,2650,,1373,,723,,1674,,
A.F. of L. affiliates only,3384,2325,,,,,,1059,,
C.I.O. affiliates only,,,,1068,,,,,,
Unaffiliated unions only,620,,,,,482,,,,
A.F. of L. – C.I.O. affiliates (joint),,155,,166,,,,70,,
A.F. of L. – Unaffiliated unions (joint),,117,,,,115,,,,
C.I.O. – Unaffiliated unions (joint),,,,,,,,,,
B. ELIGIBLE VOTERS AND VALID VOTES CAST — Total,660556,145532,25.6,184056,32.4,109478,19.3,145529,24,505322
