Industrial group,All cases,All C cases,CA,CB,CC,CD,CE,CP,All R cases,RC,RM,RD,Union deauthorization UD,Amendment of certification AC,Unit clarification UC
Ordnance and accessories,132,108,75,33,0,0,0,0,21,19,1,1,0,0,3
Food and kindred products,1802,1084,738,290,50,7,12,731,661,41,45,9,9,0,
Manufacturing (subtotal),16188,10028,7233,2346,333,27,84,5872,5117,356,398,,8,1,127
Other Manufacturing,various,,,,,,,,,,,,,,
