row_label,Injunction proceedings / Total proceedings,"Injunction proceedings / Pending in district court July 1, 1968",Injunction proceedings / Filed in district court fiscal year 1969,Disposition of injunctions / Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,"Pending in district court June 30, 1969 / Inactive","Pending in district court June 30, 1969"
"Under section 10(e), total",3,,1,2,2,0,0,0,0,0,1
"Under section 10(j), total",19,4,15,18,6,3,3,4,2,0,1
Under section 10(j),,,,,,,,,,,
"Under section 10(l), total",210,20,190,187,78,8,57,15,7,12,23
Under section 10(l),,,,,,,,,,,
