row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Washington,89,44,39,I,4,45,6610,"5,694 2,947",3197,3099,3,95,2497,3256
Oregon,59,26,25,o,1,33,3333,,1261,1226,0,35,1686,948
California,322,174,161,4,9,148,16014,13616,6964,6301,224,439,6652,7636
Alaska,15,4,4,o,o,11,648,559,228,228,0,0,331,130
Hawaii,33,14,14,0,0,19,5825,4114,3245,2569,22,654,869,4619
Guam,2,0,0,o,0,2,4091,3613,1602,1602,o,0,2011,o
Pacific .........................,520,262,243,5,14,258,36521,30.543,16497,15025,249,1223,14046,16.589
Puerto Rico,60,36,21,o,15,24,2859,2431,1.143,569,0,574,1288,893
Virgin Islands . . .. ........... ...... .. .,6,5,5,o,o,1,421,309,142,142,o,o,167,195
Outlying Areas . ....... .......,66,41,26,o,15,25,3280,2740,1285,711,0,574,1455,1088
"Total, all States and area",3055,1541,1375,63,103,1514,206702,180009,90331,79195,3126,8010,89678,87163
