Participating unions,Total elections,Percent won,Total won,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Elections in which no representative chosen,Employees eligible to vote — Total,In elections won by unions — Total,AFL-CIO unions in won-elections,Teamsters in won-elections,Other national unions in won-elections,Other local unions in won-elections,In elections where no representative chosen
Section B — RC: AFL-CIO (1-union),1819,47.4,862,862,,,,957,123824,46222,46222,,,,77602
Section B — RC: Teamsters (1-union),907,41.1,373,,373,,,534,38302,10550,,10550,,,27812
Section B — RC: 1-union elections — Subtotal,2948,45.7,1348,862,373,47,66,1600,177703,62490,46222,10550,3009,2709,115213
Section B — RC: 2-union elections — Total,136,82.4,112,57,16,11,28,24,13999,11184,6138,656,663,3725,2815
Section B — RC: 3-or-more-union elections,5,100.0,5,4,0,0,1,0,555,555,431,0,0,124,0
Section B — Total RC elections,3089,47.4,1465,923,389,58,95,1624,192257,73229,52791,11206,3674,6558,118028
Section C — RM: AFL-CIO (1-union),52,26.9,14,14,,,,38,1115,577,577,,,,538
Section C — RM: 1-union elections — Subtotal,82,32.9,27,14,7,1,5,55,2197,1108,577,288,11,232,1089
