Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA 2,Unfair labor practice cases / CB 2,Unfair labor practice cases / CC 2,Unfair labor practice cases / CD 2,Representation cases / All R cases,Representation cases / RC 2,Representation cases / RM 2,Representation cases / RD 2
Pacific,1565,654,370,222,53,9,911,735,104,72
Washington,204,102,63,33,4,2,102,86,9,7
Oregon,149,63,37,23,1,2,86,69,11,6
California,1212,489,270,165,49,5,723,580,84,59
Outlying areas,351,176,107,45,22,2,175,164,8,3
Alaska,53,28,19,3,5,1,25,25,0,0
Hawaii,56,10,8,0,1,1,46,45,1,0
Puerto Rico,242,138,80,42,16,0,104,94,7,3
Canada,0,0,0,0,0,0,0,0,0,0
Virgin Islands,0,0,0,0,0,0,0,0,0,0
