Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing representation
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,1,0,0,0,0,1,18,18,9,9,0,0,9,0
West North Central,35,10,2,8,0,25,1984,1531,761,221,540,0,770,1142
Arkansas,5,3,2,1,0,2,514,477,250,244,6,0,227,249
Louisiana,1,0,0,0,0,1,6,6,0,0,0,0,6,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,6,3,2,1,0,3,247,240,146,32,114,0,94,216
West South Central,12,6,4,2,0,6,767,723,396,276,120,0,327,465
"Total, all States and areas",273,112,45,65,2,161,16555,13827,7047,2680,4054,313,6780,8754
