Stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,33287,100.0,25928,100.0,6449,100.0,529,100.0,183,100.0,26,100.0,32,100.0,140,100.0
Before issuance of complaint,28401,85.3,21488,82.9,6140,95.2,464,87.7,178,97.3,25,96.2,28,87.5,118,84.3
"After issuance of complaint, before opening of hearing",3738,11.2,3413,13.2,247,3.8,53,10.0,5,2.7,1,3.8,3,9.4,16,11.4
"After hearing opened, before issuance of administrative law judge's decision",202,0.6,194,0.7,8,0.1,0,0,0,0,0,0,0,0,0,0
"After administrative law judge's decision, before issuance of Board decision",51,0.2,48,0.2,2,0.0,1,0.1,0,0,0,0,0,0,0,0
After Board order adopting administrative law judge's decision in absence of exceptions,275,0.8,268,1.0,7,0.1,0,0,0,0,0,0,0,0,0,0
"After Board decision, before circuit court decree",244,0.7,211,0.8,22,0.3,8,1.5,0,0,0,0,0,0,0,0
"After circuit court decree, before Supreme Court action",370,1.1,302,1.2,60,0.9,0,0,0,0,0,0,0,0,0,0
After Supreme Court action,,,,,,,,,,,,,,,,
