row_label,col_1
"iil§inggsssettnts886s8s88s1 -RussessessessessassouggEmat ;p:- . 311333sm4svt- .. -s"" 4 "" * "" G r 3",g
p.Y.X.F.1=p17.1441cpprpp.r.IBla t V g 3313E-Aur.tatRMa gg i g EEP33t,
,P 1
"--- -----mvaaute-- = - 7,Gu nli",1. P.
"O PPPP 0 P . "" .. 0 0 5 ,0 P 0 PN .w ! .. f h P , P 7,12 ...-tommi.mb .... * .o■ .. L-bi.1 :",§ b
"in! .. E. i.. 4 i l .... . .. . ... .. 6 ,,,, - , - , :a lg w , v ;14: ,. 1 . u , sE tt aSE",1
0014 ..... .z.........s.....==rivatsall,
- 112 PPP 2eX.EEEEC g Et-- - . ..2te.,5 o
"o00eoom...s.n,-4...wwwSuw=""ZankiM8 E",:41.
I IIIII 0 PPPPAPPPSD PPPt .. -P4I P lia.mo4.14wom.g.w.i.mow.o.m,R o
0000.-0ow .---0.-000 .-..-m.-o14..141.364.,4
"II I 1,, - I li.:,, '""-;1,2 *-1 I 1,2 --,D r.,, 1"".3.1'-.P. P.'l i; r ° '",:§. 0
0000000.0*w04..-'o0.0 .-..- Ng,- na -.a
"1111111""""""""1:nt1=P4SZEPE",I
■.-. .-muow ....SmaaGti$0ou.-0wW :ra g Wel p tiWWZSMWrara,"17, W"
"PoPoPeP.-PCDP5).-5:""..f.f. .-....... ....ua.mobiboubmmo,eboi.bwwm■■bominb",R 0
