Affiliation of participating union,Number of elections / Total,Number of elections / In which representation rights were won by / AFL-CIO affiliates,Number of elections / In which representation rights were won by / Unaffiliated unions,Number of elections / In which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / In units representation rights were won by / AFL-CIO affiliates,Number of employees involved (number eligible to vote) / In units representation rights were won by / Unaffiliated unions,Number of employees involved (number eligible to vote) / In units where no representative was chosen,Number of employees involved (number eligible to vote) / Total valid votes cast
Total,6354,2170,1393,2791,450930,156564,72719,221647,403310
1 union elections,3423,1776,1033,1608,214627,71034,78004,142503,192112
1 union elections: AFL-CIO,1960,,,,143593,,,60103,48561
2-union elections,1463,265,267,931,207063,76499,61499,68995,188303
2-union elections: AFL-CIO v AFL-CIO,208,127,,78,24640,18789,,12380,30508
2-union elections: AFL-CIO v Unaffiliated,987,239,245,603,172750,57710,61069,53971,156422
2-union elections: Unaffiliated v Unaffiliated,267,,92,14,9673,,8030,2644,1373
3-union elections,33,9,5,19,5664,979,2179,1884,1952
4-union elections,5,3,,2,650,150,,279,337
