Industrial group,Elections and cross-checks / Number,Elections and cross-checks / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes cast / Number,Valid votes cast / Percent
Construction,30,0.5,21,70.0,3,10.0,3,10.0,3,10.0,2419,0.3,1924,0.3
"Transportation, communication, and other public utilities",439,8.2,199,45.3,100,22.8,89,19.4,71,16.5,71059,8.4,58604,8.4
