row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"1 11 1 ,.. u!.4 8",000 0-00...0.,,.-000 0.,s,"000,4",N,c. ..!
111 g u < 1 t 1,-00,00000000000,000000 .40,N,0000,0,.4
,.+00,00 ..■ Nm0 -. 0mem,en .. 000- . -0,A,coo-,,
,A c.,....A..-..N,..e.N ggoo ..,R,"m.,...m",,
P 1 8 1,m0.-.,N . ..100 -. Ne400m ■,N.-..-.0.-.0 ON,4,00-0,,4
1 1,R-rz,:=11;A F O gg n g- M,gA8MizmS mQ,R,"''""°'",,",-.1"
a 0 1 a,rn,A%A g 6 g .t g -V.5,ARAEnE,k -,w= 2:4 .,A,i
el,.....0,"-00-0,0-0.-",.000-o .c,cr.,co..,c,R
,000,00000000000,000000 00,0,0000,0,
8 8,,000e40000000,000000 00,=,0.4.00,,
1 8 I,"""..",....v..-,"-,-..._ 00",N,0000,0,6
8,8,....-.Naem.-.0.-.0=m,gNm00.1 OV,g,0.100,wi,E
2 A 1 8,R w A,"A q xv.la g mel g E, Ex",E Rvg A g,.1. 5,r- g -=,g,S
a 6,"r"" . B: ...","HEERW.F, 4 M@",SiAfl 2 A ag,g i r■,"""""",,A el
U l 3,A22 -,Maii 2 Wil,105En . 9 F.,P .,VAPP,A,"en .1. -,"
4,647.:r. g VO. N,"R4AQSApA c Ja ...e.4 r. .+ .10,","spEn ng, 0 ws",,$.43:445,i,.11
"i 11 1 1 1 B 1 ! . a 1 1 I 18111 i g 1 - rWU a 11 1 i b i 1 • 1111 1 "" A 1 I ' I",".... ' , 1 i'III I",": i "" g i 1 a i",i,,"i. 1 I is. 5 • .I. i ; ,,d1 i!, WI",i x,1 I '
