row_label,Number of polls — Total,Number of polls — Resulting in deauthorization — Number,Number of polls — Resulting in deauthorization — Percent of total,Number of polls — Resulting in continued authorization — Number,Number of polls — Resulting in continued authorization — Percent of total,Employees involved (number eligible to vote) — Total eligible,Employees involved — In polls resulting in deauthorization — Number,Employees involved — In polls resulting in deauthorization — Percent,Employees involved — In polls resulting in continued authorization — Number,Employees involved — In polls resulting in continued authorization — Percent,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for deauthorization — Number,Valid votes cast — Cast for deauthorization — Percent of total eligible
Total,152,83,54.6,69,45.4,15312,4300,28.1,11012,71.9,10948,71.5,3518,23.0
AFL-CIO unions,98,55,56.1,43,43.9,8479,2887,34.0,5592,66.0,6797,80.2,2285,26.9
Teamsters,34,22,64.7,12,35.3,2853,766,26.8,2087,73.2,2300,80.6,706,24.7
Other national unions,9,1,11.1,8,88.9,3014,146,4.8,2868,95.2,1073,35.6,110,3.6
Other local unions,11,5,45.5,6,54.5,966,501,51.9,465,48.1,778,80.5,417,43.2
