Standard Federal region,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Votes for no union,Eligible employees in units choosing representation
Region I,486,229,134,53,10,32,257,29628,26194,11725,7099,1673,624,2329,14509,9468
Region II,961,504,320,108,22,57,457,51195,43717,20003,14015,3216,910,5873,20003,33187
Region III,814,398,263,98,12,25,416,47266,41301,16886,14207,2690,808,2074,21415,17393
"Individual state rows + further regions (Connecticut, Maine, Mass., NH, RI, VT, ...)",,,,,,,,,,,,,,,,
