row_label,col_1
2-R-7880,"N. A. P. A. New York Warehouse, Inc."
9-R-2678,National Carbide Corp.
2-R-7760,National Chair Co.
2-E-7798,National Lead Co.
20-11-2221,Noreal Packing Co.
13-R-4438,"Northwest Cone Co., Inc. & Regal Candy"
18-R-1886,Co. Norway Needlecraft Corp.
8-11-2698,"Ohio Fuel Gas Co., The."
16-R-2293,Oklahoma Scrap Paper Co.
2-R-7928,"Old Town Ribbon & Carbon Co., Inc."
17D-R-55,"Omar Mills, Inc."
4-R-2737,Penn Boiler & Burner Mfg. Corp.
14-11-1745,"Penney, J. C., Co., Inc."
15-R-2214,Perry County Plywood Corp.
16-R-2331,Pittsburgh Plate Glass Co.
241-7852,Premier Container Corp.
9-11-2708,Queen City Industries.
2-R-7766,Radiant Lamp Co.
10-R-2700,"Rich & Morgan, Inc."
10-11-2444,"Royal Palm Furniture Factories, Inc."
"8-R-2674 S-P Mfg. Corp., The.","8-R-2674 S-P Mfg. Corp., The."
15M-R-1930 1-11-3769,"Salant & Salant, Inc. Scott & Williams, Inc."
1-R-3701,"Scovil Mtg. Co., Oakville Co. Division."
4-11-2669,"Scranton Broadcasters, Inc."
6-11-1744,"Sharon Herald Co., The."
8-11-2655,"Shenango Furnace Co., The."
9-R-2655,Short Way Bus Lines.
1-R-3810,"Si/ex Co., The."
19-R-2146,"Smucker, J. M., & Co."
7-R-2662,"Solvay Process Co., The."
15-R-2222,"Southern Advance Bag & Paper Co., Inc."
16-R-2869,Southwestern Trailways.
8-11-2691,Steel Stamping Co.
"10-11,2762",Stein-Way Clothing Co.
5W-R-55,"Sterling Cotton Mills, Inc."
4-R-2589 5-R-2970,"Stewartstown Furniture Co. Stillwater Worsted Mills, Inc."
15-R-2180,Stonewall Cotton Mills.
5W-R-97,Superior Mfg. Co.
10-R-2655,"Tennessee Chair Co., Inc."
164/-2345,Texas Paper Box Mfg. Co.
16-R-2828,Tin Processing Corp. Tobe-Deutchman Corp.
1-11-3823,"Co., The."
141-3815,Torrington
2-11-7789,"Tru-Vue Optical Co., Inc. Tuttle, H. W., & Co.,"
7-R-2689,The.
6-11-1751,"'Union Switch & Signal Co. U. S. Industrial Chemicals, Inc."
18-R-4488 7-11-2698,"United States Rubber Co. States Time Corp., The."
1-R-8795,United
20-R-2250,Wasatch Oil Refining Co. Corp.
1541-2284,Waterman Steamship Weaver Iron Works. Wenatchee-Wenoka Fruit
16-R-2285,Association. Westinghouse Electric
19-R-2127,Growers Corp.
20-R-2102 4-11-2701,Wilmington Paper Box Co.
,Telephone Co.
,Wisconsin
13M-R-23,
