row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Valid votes for no union,Employees in elections choosing representation
"Total, all industrial groups",8324,5059,3215,1382,320,142,3265,592742,419874,311353,225932,41335,23743,20333,176628,339532,
Manufacturing (subtotal),4796,2840,1970,504,206,100,1955,459002,382160,241046,176733,32932,18135,20353,178628,153634,
Manufacturing sub-industries (Ordnance/accessories / Food/kindred / Tobacco / Textile / Apparel / Lumber / Furniture / Paper / Printing / Chemicals / Petroleum / Rubber / Leather / Stone-clay-glass / Primary metal / Fabricated metal / Machinery / Electrical / Transportation / Aircraft / Ship/boat / Automotive / Professional/scientific / Miscellaneous),,,,,,,,,,,,,,,,,
