Election characteristic,Objections filed,Objections withdrawn,Objections ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,386,49,337,274,81.3,63,18.7
RC cases,327,44,283,227,80.2,56,19.8
RM cases,16,0,16,15,93.8,1,6.2
RD cases,43,5,38,32,84.2,6,15.8
Consent elections,3,0,3,3,100.0,0,0.0
Stipulated elections,290,44,246,202,82.1,44,17.9
Expedited elections,0,0,0,,,,
Regional director-directed elections,82,3,79,65,82.3,14,17.7
Board-directed elections,11,2,9,4,44.4,5,55.6
