row_label,Total,Identification of Petitioner — Employer,Identification of Petitioner — Union,Identification of Petitioner — Courts,Identification of Petitioner — State Boards
"Pending October 1, 1978",1,0,1,0,0
Received fiscal 1979,5,5,0,0,0
On docket fiscal 1979,6,5,1,0,0
Closed fiscal 1979,5,4,1,0,0
"Pending Sept 30, 1979",1,1,0,0,0
