Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Washington,119,67,48,16,0,3,70,6879,6676,3472,2813,304,0,355,3204,3544
California,415,181,112,53,4,12,234,22042,18883,8672,5851,1856,271,558,10223,9653
Pacific — Division subtotal,650,304,203,79,5,17,346,35016,29537,14202,10417,2437,339,1011,15613,15213
Outlying Areas — subtotal,48,31,14,10,0,7,17,1720,1659,1375,372,1184,0,0,0,1562
"Total, all States and areas — GRAND TOTAL FY1991",3752,1664,1054,434,39,106,2089,225842,195876,53591,36963,8758,2257,5329,102283,90051
