row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Arizona,333,274,1,76,1,0,1,o,0,54,48,3,3,o,o,5
California .,4627,3853,2748,966,82,21,10,7,19,738,560,45,133,5,1,30
Hawaii .,345,290,199,74,8,i,5,o,1,53,42,1,10,0,0,2
Guam .,2,o,o,o,o,o,o,o,o,2,2,o,o,o,o,o
Nevada,510,440,309,118,9,4,o,o,0,70,58,3,9,o,o,o
Region IX,5817,4857,3452,1234,100,28,16,• 7,20,917,710,52,155,5,I,37
Alaska,121,99,72,25,1,0,1,0,0,21,19,1,1,1,0,o
Idaho,90,70,65,5,0,0,o,o,0,18,15,0,3,0,0,2
Oregon,463,338,223,97,3,6,I,1,7,105,77,8,20,3,0,17
Washington .,977,788,571,207,4,2,1,o,3,173,118,5,50,4,0,12
Region X .,1651,1295,931,334,8,s,3,1,10,317,229,14,74,s,o,31
"Total, all States and areas",40322,33744,24.500,8074,750,211,53,38,118,6140,4853,231,1056,106,19,313
