row_label,NLRB Region,"Number of unfair labor practice cases pending June 30, 1938",Number of charges involving subsections of section 8 — 1,Number of charges involving subsections of section 8 — 2,Number of charges involving subsections of section 8 — 3,Number of charges involving subsections of section 8 — 4,Number of charges involving subsections of section 8 — 5,Number of charges by subsections of section 8 involved — 1 and 2,Number of charges by subsections of section 8 involved — 1 and 3,"Number of charges by subsections of section 8 involved — 1, 2 and 3","Number of charges by subsections of section 8 involved — 1, 2, 3 and 4",Number of charges by subsections of section 8 involved — 1 and 5,"Number of charges by subsections of section 8 involved — 1, 2 and 5","Number of charges by subsections of section 8 involved — 1, 2, 3 and 5","Number of charges by subsections of section 8 involved — 1, 4 and 5","Number of charges by subsections of section 8 involved — 1, 2, 4 and 5","Number of charges by subsections of section 8 involved — 1, 3, 4 and 5","Number of charges by subsections of section 8 involved — 1, 2, 3, 4 and 5"
Board,6,6,5,2,,,,,,,,,,,,,,
1. Boston,109,109,39,73,42,39,15,12,18,5,,,,,,,,
2. New York,332,332,39,263,144,123,31,,,,,,,,,,,
Total,2514,2514,1859,1032,873,322,434,321,188,79,102,3,77,33,7,1,9,3
