Method and stage of disposition,All C cases / Number,All C cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Circuit court of appeals decree,373,1.2,34.0,0,208,1.4,52,0.7,17,1.0,1,0.2,,3,,2
Supreme Court action,30,0.1,,,,,,,,,,,,,,
WITHDRAWAL,11598,35.8,100,0,7819,35.9,2915,37.4,626,35.5,5,1.1,48,44.1,11,15.7
Before issuance of complaint,11367,35.2,7637,35.1,2889,37.1,616,34.9,,,40,36.7,10,14.3,174,37.9
"After issuance of complaint, before opening of hearing",208,0.6,18,0.8,164,0.8,23,0.3,10,0.6,,,7,1.4,1,0.2
"After hearing opened, before administrative law judge's decision",6,,,,6,0.1,,,,,,,,,,
"After administrative law judge's decision, before Board decision",13,,,,,,,,,,,,,,,
After Board or court decision,4,,,,,,,,,,,,,,,
DISMISSAL,11884,36.7,100,0,7825,36.0,3575,45.6,301,17.1,2,0.5,30,27.5,17,24.3
Before issuance of complaint,11599,35.8,100,0,7619,35.0,3520,43.1,277,15.7,1,0.1,25,22.9,128,27.9
"After issuance of complaint, before opening of hearing",30,0.1,3,,22,,6,,,,,,,,,
"After hearing opened, before administrative law judge's decision",8,,,,,,,,,,,,,,,
By administrative law judge's decision,0,,,,,,,,,,,,,,,
By Board decision,247,0.7,174,0.8,65,0.8,0,,,,,,5,3,,
Adopting administrative law judge's decision (no exceptions filed),72,0.2,6,,58,,8,,,,,,,,,
Contested,175,0.5,116,,,,,,,,,,,,,
By circuit court of appeals decree,17,0.1,11,,5,,1,,,,,,,,,
By Supreme Court action,1,,,,,,,,,,,,,,,
10(k) actions (see table 7A for details of disposition),428,1.3,,,,,,,428,97.1,,,,,,
Otherwise (compliance with order of administrative law judge or Board not achieved-firm went out of business),6,,8,,0,,8,,,,,,,,,
