row_label,col_1
9 - g -2842,Great Trails Broadcasting Co.
13M-R-16 1-R-8172,"Green Bay Drop Forge Co. Greenville Finishing Co., Inc."
10-R-2525,Greenville Steel & Foundry Co.
4-R-2513,Greenwich Oyster Co.
16-R-2111,Griffin-Goodner Grocery Co.
19-R-2004,Grinnell Co. of the Pacific.
10-R-1757,Grinnell Corp.
8-R-2250,"Griscom-Russell Co., The."
5-R-2632,"Gross, A., Candle Co., The."
16-R-1819,Gulf Oil Corp.
15-R-1949,Gullett Gin Co.
11-R-1269,"Gunnison Homes, Inc."
20-R-1828 10-R-2077,"Guntert & Zimmerman Co. Gurney Mfg. Co., & Jewel Fabrics Co."
7-R-2471,"Habitant Shops, Inc."
16-R-1962,Hall Level & Mfg. Works.
9-R-1986,Hamilton Gas Corp.
5-R-2599,Hanes Dye & Finishing Co.
8-R-2612 8-R-2288,"Hanna, M. A., Co., The. Hanson Clutch & Machinery Co., The."
13M-R-9,Harnischfeger Corp.
7-R-2393,Hart
,& Cooley Mfg. Co.
1-R-8116 10-R-1997,"Hartford Courant Co., The. Harris Foundry & Machine Co."
15-R-1607,Harriston Hardwood Co.
13-R-3829,Harrison Sheet Steel Co.
18-R-4329,"Harrison Steel Castings Co., The."
13-R-4097,Hart-Carter Co.
2-R-7226,"Hat Corp. of America, The."
23-R-267,Hawaiian Dredging Co.
18-R-1778,Hawkeye Steel Products Co.
2-R-7246,Hawley & Hoops.
,Heisley Coal Co.
6-R-1475,Herff Motor Co.
15M-R-46 6-R-1554,Heyden Chemidal Corp.
15-R-1680,Higgins Inc. (Michaud Plant).
ii-R-1192,Hillenbrand Industries.
6-R-1523,Hillman Coal & Coke Co. (Barking Mine).
13-R-3812,Hillman's Inc.
18-R-1649 6-R-1468,"Hinson Mfg. Co., The. Hitchman Coal & Coke Co."
,Hoffman Radio Corp.
21-R-8418,
4-R-2208,"Hollingshead Corp., The."
14-R-1456,"Hollywood Brands, Inc."
5-R-2926,"Home Laundry Co., Inc."
23-R-202,"Honolulu Rapid Transit Co., Ltd."
8-R-1407,Hooker Electrochemical Co.
11-R-1242,Hoosier Desk Co.
18-R-1823,"Horn Mfg. Co., Inc."
10-R-2213,"Horton's Laundry, Inc."
16-R-1810,Houston Cartage Co.
,Packing Co.
16-R-1901,Houston
18-R-8084,"Honda'lle-Hershey Corp., Chicago Bumper Division."
16-R-1877,"Hubby-Reese Co. Processing Co., Inc."
1-R-3599 5-R-2700,Hub Hudson Hosiery Co.
15-R-2117,"Huff Truck Lines, Inc."
13-R-4354,Humiston-Keeling & Co.
20-R-1741,Furniture Mfg. Co.
,Hummel Hyde Park Cooperative
13-RE-46,"Society, Inc."
19-R-1708,"Hyser Co., The. Radio & Electronics Corp."
1-R-2967,Hytron
,Maryland Mines Corp.
,Coach Co.
,Northern Utilities
,Illinois
18-B-8598,
,Co.
13-R-8980,
Illini,
20-B-1582 Idaho,
