Division and State,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
South Atlantic — Division subtotal,4950,3728,2604,,,,,,,1083,,,,,,
East South Central — Division subtotal,2051,1732,1300,,,,,,,248,,,,,,
West South Central — Division subtotal,1872,1538,1000,,,,,,,300,,,,,,
Mountain — Division subtotal,1872,,,,,,,,,,,,,,,
