Division and State 1,Total,Number of elections in which representation rights were won by: / AFL-CIO affiliates,Number of elections in which representation rights were won by: / Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — / AFL-CIO affiliates,Valid votes cast for — / Unaffiliated unions,Valid votes cast for — / No union,Employees in units representation
Total,5428,2302,1108,2018,430033,385794,177351,70516,137927,257028
New England,305,130,70,115,28663,26299,11821,3803,10674,14689
Maine,,,,,,,,,,
Middle Atlantic,979,419,233,327,82056,74004,33968,19713,18413,20927
New York,428,190,105,143,38238,34092,16106,10457,7309,20148
"Additional Middle Atlantic states (NJ, PA)",,,,,,,,,,
East North Central,1211,540,238,433,110821,99646,48874,14084,36588,62961
"Additional East North Central states (OH, IN, IL, MI, WI)",,,,,,,,,,
West North Central,557,215,134,208,26016,22076,10021,4815,8240,16206
"Additional West North Central states (MN, MO, ND, SD, NE, KS, IA)",,,,,,,,,,
