Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Circuit court of appeals decree,283,0.9,42.6,271,1.0,11,0.3,0,0,0,0,0,0,0,0,1,1.1
Supreme Court action,4,0.0,0.6,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Withdrawn,10871,32.7,100.0,8908,34.1,1717,26.5,168,31.7,,,15,57.6,12,37.5,51,36.4
Withdrawn — Before issuance of complaint,10107,30.4,93.0,8178,31.5,1686,26.1,165,31.1,(2),,15,57.6,12,37.5,51,36.4
Dismissal,10404,31.3,100.0,6620,25.5,3585,55.5,103,19.4,(2),,6,23.0,6,18.7,42,30.0
Dismissal — Before issuance of complaint,10181,30.6,97.8,6447,24.8,3585,55.5,103,19.4,,,6,23.0,6,18.7,34,24.2
