Division and State,Total elec- tions,Number of elections in which representation rights were won / Total,Number of elections in which representation rights were won / AFL- CIO unions,Number of elections in which representation rights were won / Other na- tional unions,Number of elections in which representation rights were won / Other local unions,Number of elec- tions in which no rep- resen- tative was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL- CIO unions,Valid votes cast for unions / Other na- tional unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total elig- ible employ- ees in no rep- resen- tative chosen
West North Central (region total),56,14,14,0,0,42,2816,2261,975,914,,130,1309,1803
South Atlantic (region total),29,12,11,0,0,17,1840,1653,822,,,31,780,954
East South Central (region total),13,2,2,0,0,11,773,651,224,224,0,0,427,428
West South Central (region total),21,5,5,0,0,16,740,594,185,185,0,0,402,459
