Section,Total Proceedings,"Injunction proceedings / Pending in district court July 1, 1964",Injunction proceedings / Filed in district court fiscal year 1965,Injunction proceedings / Total dispositions,Disposition of Injunctions / Granted,Disposition of Injunctions / Denied,Disposition of Injunctions / Settled,Disposition of Injunctions / Withdrawn,Disposition of Injunctions / Dismissed,Disposition of Injunctions / Inactive,"Pending in District court June 30, 1965"
"Under sec. 10(e), total",,,,,,,,,,,
"Under sec. 10(j), total",22,4,18,21,15,3,,4,,,1
Sec. 10(j) subsection breakdown,,,,,,,,,,,
"Under sec. 10(l), total",249,12,227,231,80,6,73,16,8,48,9
Sec. 10(l) subsection breakdown,,,,,,,,,,,
