row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"RC cases - Pending July 1, 1969",2452,1517,583,172,176,4,
RC cases - Received fiscal 1970,10332,5653,2982,890,772,35,
RC cases - On docket fiscal 1970,12784,7170,3565,1062,948,39,
RC cases - Closed fiscal 1970,10254,5792,2975,849,606,32,
"RC cases - Pending June 30, 1970",2530,1378,590,213,342,7,
"RM cases - Pending July 1, 1969",182,,,,,,182
RM cases - Received fiscal 1970,979,,,,,,979
RM cases - On docket fiscal 1970,1161,,,,,,1161
RM cases - Closed fiscal 1970,973,,,,,,973
"RM cases - Pending June 30, 1970",188,,,,,,188
"RD cases - Pending July 1, 1969",147,2,0,,4,141,
RD cases - Received fiscal 1970,766,8,2,,5,751,
RD cases - On docket fiscal 1970,913,10,2,,9,892,
RD cases - Closed fiscal 1970,773,9,2,,9,753,
"RD cases - Pending June 30, 1970",140,1,0,,0,139,
