Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Withdrawn — Before issuance of complaint,8250,27.8,97.1,6365,28.0,1674,27.2,159,37.1,0,0,7,24.1,9,39.1,36,31.0
Dismissal,9185,31.0,100.0,5661,24.9,3418,55.4,60,14.0,5,2.9,7,24.1,7,30.4,35,30.2
Dismissal — Before issuance of complaint,8938,30.2,97.5,5486,24.0,3382,54.9,58,13.6,4,2.3,6,20.7,7,30.4,35,30.2
By Board decision (Dismissal-after-Board-decision),109,0.4,1.2,88,0.4,19,0.3,1,0.2,0,0,1,3.4,0,0,0,0
By circuit court of appeals decree (Dismissal),8,0.0,0.1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10(k) actions (see Table 7A for details of dispositions),162,0.5,,,,,,,,162,94.2,,,,,,
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),198,0.7,,192,0.9,6,0.1,0,0,0,0,0,0,0,0,0,0
