row_label,Circuit courts of appeals (headquarters),Total fiscal year 1969,Affirmed in full / Fiscal year 1969 Number,Affirmed in full / Fiscal year 1969 Percent,Affirmed in full / Cumulative fiscal years 1964-69 Number,Affirmed in full / Cumulative fiscal years 1964-69 Percent,Modified / Fiscal year 1969 Number,Modified / Fiscal year 1969 Percent,Modified / Cumulative fiscal years 1964-69 Number,Modified / Cumulative fiscal years 1964-69 Percent,Remanded in full / Fiscal year 1969 Number,Remanded in full / Fiscal year 1969 Percent,Remanded in full / Cumulative fiscal years 1964-69 Number,Remanded in full / Cumulative fiscal years 1964-69 Percent,Affirmed in part and remanded in part / Fiscal year 1969 Number,Affirmed in part and remanded in part / Fiscal year 1969 Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1964-69 Number,Affirmed in part and remanded in part / Cumulative fiscal years 1964-69 Percent,Set Aside / Fiscal year 1969 Number,Set Aside / Fiscal year 1969 Percent,Set Aside / Cumulative fiscal years 1964-69 Number,Set Aside / Cumulative fiscal years 1964-69 Percent
Total all circuits,363,1234,208,57.3,721,58.4,83,22.9,256,20.7,16,4.4,51,4.1,4,1.1,19,1.5,52,14.3,187,15.3
"Boston, Mass.",14,47,9,64.3,43,44.7,2,14.3,10,21.3,,,,,,,1,1.6,3,21.4,11,11.6
"New York, N.Y.",29,118,17,58.6,75,63.6,9,31.0,30,25.4,0,,6,5.1,0,,1,0.8,3,10.4,6,5.0
