Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(k) notices of hearings issued,168,103,,,,103,,,,,,,
Complaints issued,6477,5373,4445,614,234,,,9,5,46,10,8,5
Backpay specifications issued,180,140,,,,,,,,,,,
"Hearings completed, total",1415,1147,,,18,51,2,0,1,4,1,,1
Initial ULP hearings,1314,1054,856,91,18,51,2,0,1,4,1,,1
Backpay hearings,71,59,,,,,,,,,,,
Other hearings,30,34,,,,,,,,,,,
"Decisions by administrative law judges, total",1477,1102,979,97,21,,,0,0,3,0,1,1
Initial ULP decisions,1364,1016,899,94,18,,,,,,,,
Backpay decisions,55,73,,,,,,,,,,,
Supplemental decisions,13,12,,,,,,,,,,,
"Decisions and orders by the Board, total",1641,1122,894,122,46,41,,0,1,0,1,4,10
