Type of action,FY1993 — Number of proceedings — Total,FY1993 — Number of proceedings — Vs. employers only,FY1993 — Number of proceedings — Vs. unions only,FY1993 — Number of proceedings — Vs. both employers and unions,FY1993 — Number of proceedings — Board dismissed,FY1993 — Percentages — Vs. employers only,FY1993 — Percentages — Vs. unions only,FY1993 — Percentages — Vs. both employers and unions,FY1993 — Percentages — Board dismissed,"July 5, 1935-Sept. 30, 1993 — Number","July 5, 1935-Sept. 30, 1993 — Percent"
Proceedings decided by U.S. courts of appeals,204,187,11,0,6,,,,,,
On petitions for review and/or enforcement,179,165,8,0,6,100.0,,,100.0,10517,100.0
On petitions for review and/or enforcement — Board orders affirmed in full,140,130,5,0,5,78.2,,,83.3,6934,65.9
On petitions for review and/or enforcement — Board orders affirmed with modification,14,12,2,0,0,7.3,,,,1429,13.6
On petitions for review and/or enforcement — Remanded to Board,10,9,0,0,1,5.5,,,16.7,518,4.9
On petitions for review and/or enforcement — Board orders set aside,10,9,1,0,0,5.6,,12.5,,1425,13.5
On petitions for contempt,25,22,3,0,0,100.0,,,,,
Proceedings decided by U.S. Supreme Court,0,0,0,0,0,0,0,0,0,251,100.0
